Date,Institutional Net,Retail Net
2004-01-06,35204,-19129
2004-01-13,35135,-19125
2004-01-20,35636,-17009
2004-01-27,35219,-18023
2004-02-03,30355,-14476
2004-02-10,34405,-19013
2004-02-17,36213,-16223
2004-02-24,37343,-15009
2004-03-02,38131,-13187
2004-03-09,44008,-13223
2004-03-16,22375,-12395
2004-03-23,24043,-12564
2004-03-30,23591,-11730
2004-04-06,25624,-13370
2004-04-12,27208,-13029
2004-04-20,25601,-8979
2004-04-27,27021,-7629
2004-05-04,29325,-4479
2004-05-11,33932,-3520
2004-05-18,34101,-3441
2004-05-25,34801,-2942
2004-06-01,36046,-3091
2004-06-08,40302,-4210
2004-06-15,19830,-1650
2004-06-22,20576,-1857
2004-06-29,20427,-723
2004-07-06,20575,-13528
2004-07-13,21961,-6811
2004-07-20,25668,-7048
2004-07-27,23359,-5687
2004-08-03,23255,-5126
2004-08-10,22426,-6070
2004-08-17,24132,-7500
2004-08-24,25835,-8151
2004-08-31,25524,-6214
2004-09-07,30215,-2412
2004-09-21,15223,508
2004-09-28,18821,-6762
2004-10-05,23814,-11306
2004-10-12,27531,-14041
2004-10-19,28825,-15236
2004-10-26,29472,-15362
2004-11-02,30442,-14494
2004-11-09,32217,-14528
2004-11-16,33153,-14634
2004-11-23,36923,-16788
2004-11-30,39998,-15403
2004-12-07,52602,-15249
2004-12-14,27210,-10101
2004-12-21,30214,-10734
2004-12-28,30647,-12935
2005-01-04,34476,-13991
2005-01-11,36191,-12090
2005-01-18,37332,-11499
2005-01-25,39909,-11573
2005-02-01,41467,-15374
2005-02-08,40794,-16400
2005-02-15,44488,-21222
2005-02-22,45261,-22047
2005-03-01,47849,-23377
2005-03-08,74415,-23973
2005-03-15,45438,-21449
2005-03-22,46873,-20395
2005-03-29,50505,-13857
2005-04-05,52355,-9333
2005-04-12,53454,-9457
2005-04-19,60332,-7896
2005-04-26,55287,-13073
2005-05-03,55561,-10373
2005-05-10,53104,-11712
2005-05-17,60221,-4497
2005-05-24,63360,-3802
2005-05-31,68153,-3315
2005-06-07,72050,-5771
2005-06-14,39590,-8741
2005-06-21,46825,-16999
2005-06-28,44945,-14446
2005-07-05,43835,-6212
2005-07-12,46622,-1809
2005-07-19,47450,94
2005-07-26,40295,-6236
2005-08-02,40351,-9369
2005-08-09,42449,-10231
2005-08-16,46711,-14923
2005-08-23,45527,-7395
2005-08-30,46957,-3877
2005-09-06,44494,-5930
2005-09-13,60082,-17300
2005-09-20,42431,-20050
2005-09-27,39654,-14464
2005-10-04,40135,-14875
2005-10-11,41284,-10314
2005-10-18,44504,-4373
2005-10-25,44271,-5991
2005-11-01,46620,-2465
2005-11-08,51017,1514
2005-11-15,57214,2680
2005-11-22,60139,2824
2005-11-29,57783,1842
2005-12-06,48585,-5633
2005-12-13,58927,-9879
2005-12-20,28818,-3405
2005-12-27,43380,2462
2006-01-03,39129,3327
2006-01-10,28629,-4953
2006-01-17,34423,-10108
2006-01-24,34080,-9887
2006-01-31,35290,-12500
2006-02-07,37216,-4170
2006-02-14,40264,269
2006-02-21,43324,-1025
2006-02-28,42202,-1687
2006-03-07,50904,1548
2006-03-14,26523,5364
2006-03-21,41993,7624
2006-03-28,50246,8766
2006-04-04,43495,7524
2006-04-11,31364,3684
2006-04-18,31452,953
2006-04-25,28907,-3239
2006-05-02,30564,-11218
2006-05-09,39975,-16137
2006-05-16,42309,-18495
2006-05-23,53119,-16507
2006-05-30,42676,-16282
2006-06-06,48862,-14669
2006-06-13,57858,-12145
2006-06-20,25876,-7942
2006-06-27,27794,-8414
2006-07-03,28539,-8280
2006-07-11,29856,-8912
2006-07-18,24035,-12290
2006-07-25,25293,-13250
2006-08-01,27736,-16147
2006-08-08,28989,-16272
2006-08-15,30142,-18311
2006-08-22,30547,-16967
2006-08-29,28965,-17222
2006-09-05,31647,-19335
2006-09-12,43631,-11357
2006-09-19,22897,-12460
2006-09-26,22895,-10769
2006-10-03,24799,-8632
2006-10-10,21606,-8595
2006-10-17,24998,-12654
2006-10-24,25764,-13832
2006-10-31,29227,-16166
2006-11-07,29477,-19146
2006-11-14,33610,-21541
2006-11-21,33017,-20621
2006-11-28,33653,-22146
2006-12-05,40988,-26433
2006-12-12,78877,-23815
2006-12-19,34391,-24686
2006-12-26,36681,-23047
2007-01-03,34815,-21783
2007-01-09,54290,-17683
2007-01-16,48140,-19642
2007-01-23,40726,-20456
2007-01-30,46174,-15322
2007-02-06,46968,-12105
2007-02-13,45149,-12515
2007-02-20,47104,-15930
2007-02-27,47367,-19204
2007-03-06,74988,-13712
2007-03-13,79465,-12175
2007-03-20,32512,-16552
2007-03-27,31712,-15853
2007-04-03,34066,-16804
2007-04-10,36985,-16474
2007-04-17,34744,-16725
2007-04-24,37946,-17597
2007-05-01,35248,-16089
2007-05-08,32699,-12457
2007-05-15,31084,-14321
2007-05-22,36439,-14118
2007-05-29,36244,-12088
2007-06-05,37014,-18099
2007-06-12,66604,-22405
2007-06-19,39931,-22514
2007-06-26,38190,-21527
2007-07-03,41094,-20796
2007-07-10,41039,-22266
2007-07-17,42487,-19263
2007-07-24,42957,-17988
2007-07-31,53768,-15479
2007-08-07,57646,-15503
2007-08-14,62508,-17551
2007-08-21,71704,-10343
2007-08-28,73433,-7556
2007-09-04,67245,-6045
2007-09-11,66755,-10679
2007-09-18,25438,-15531
2007-09-25,27513,-16646
2007-10-02,30699,-18112
2007-10-09,34239,-18131
2007-10-16,32043,-16171
2007-10-23,33488,-15648
2007-10-30,33680,-18657
2007-11-06,33707,-17003
2007-11-13,39135,-14309
2007-11-20,34722,-13049
2007-11-27,34425,-11568
2007-12-04,36788,-10371
2007-12-11,39599,-13832
2007-12-18,35604,-13776
2007-12-24,33031,-14575
2007-12-31,33522,-13030
2008-01-08,42451,-18286
2008-01-15,40929,-19054
2008-01-22,44276,-11826
2008-01-29,36576,-13647
2008-02-05,28351,-13082
2008-02-12,33360,-19034
2008-02-19,35680,-18266
2008-02-26,37573,-19435
2008-03-04,34966,-19397
2008-03-11,45164,-18185
2008-03-18,31841,-14581
2008-03-25,31404,-14301
2008-04-01,31398,-12420
2008-04-08,28489,-16710
2008-04-15,32722,-16406
2008-04-22,31121,-19988
2008-04-29,36319,-18613
2008-05-06,30582,-18675
2008-05-13,31723,-14937
2008-05-20,38629,-19379
2008-05-27,40684,-21081
2008-06-03,45383,-11598
2008-06-10,48678,-6817
2008-06-17,29978,-953
2008-06-24,31651,-12050
2008-07-01,35517,-10723
2008-07-08,37399,-10954
2008-07-15,36776,-20478
2008-07-22,40671,-17580
2008-07-29,44931,-18706
2008-08-05,47692,-11214
2008-08-12,47091,-11263
2008-08-19,45351,222
2008-08-26,46659,-836
2008-09-02,51121,547
2008-09-09,62106,2278
2008-09-16,45299,1843
2008-09-23,47313,-1074
2008-09-30,44097,523
2008-10-07,44738,-534
2008-10-14,39885,3
2008-10-21,51074,2111
2008-10-28,63981,1191
2008-11-04,56596,1629
2008-11-11,58476,1189
2008-11-18,56546,4413
2008-11-25,62796,2583
2008-12-02,65291,2662
2008-12-09,61611,-1337
2008-12-16,22862,-4147
2008-12-22,21983,-2276
2008-12-30,21938,-4453
2009-01-06,25552,-6134
2009-01-13,29366,-3028
2009-01-20,34614,-452
2009-01-27,32586,-114
2009-02-03,36437,1430
2009-02-10,34747,-2419
2009-02-17,38269,-822
2009-02-24,35978,-643
2009-03-03,36794,1910
2009-03-10,57249,-6221
2009-03-17,35571,-7011
2009-03-24,36107,-9083
2009-03-31,38590,-10745
2009-04-07,41620,-14576
2009-04-14,42875,-14448
2009-04-21,43728,-11599
2009-04-28,43935,-11421
2009-05-05,45023,-14454
2009-05-12,44863,-13824
2009-05-19,46794,-13851
2009-05-26,48379,-16768
2009-06-02,50845,-17177
2009-06-09,66661,-14848
2009-06-16,31986,-12365
2009-06-23,37650,-11986
2009-06-30,45068,-13262
2009-07-07,42078,-11729
2009-07-14,45506,-9610
2009-07-21,47427,-15365
2009-07-28,49517,-16155
2009-08-04,50212,-17891
2009-08-11,49620,-16467
2009-08-18,49331,-16924
