Date,Institutional Net,Retail Net
1987-01-30,1295,498
1987-05-29,1358,305
1987-07-31,1482,-37
1987-08-14,1502,-264
1987-08-31,1442,-585
1988-05-13,1411,285
1988-05-31,3971,-53
1988-06-15,2780,-274
1988-06-30,4756,-336
1988-07-15,4773,-43
1988-07-29,4487,338
1988-08-15,4724,-50
1988-08-31,5220,164
1988-09-15,6043,220
1989-02-28,3655,-403
1989-05-15,2828,86
1989-05-31,4114,-97
1989-06-15,4367,-16
1989-06-30,2562,-59
1989-07-14,2056,691
1989-07-31,2227,683
1989-08-15,2572,119
1989-08-31,2521,863
1989-09-15,3196,312
1989-12-29,1109,21
1990-01-15,2134,544
1990-01-31,3313,1904
1990-02-15,3599,1677
1990-03-15,3431,1444
1990-03-30,2343,1289
1990-04-30,2968,278
1990-05-15,2274,423
1990-07-13,2156,-1066
1990-08-15,2639,-631
1990-08-31,3070,-1155
1990-09-14,3281,-988
1990-10-15,1889,22
1990-11-15,2797,-179
1990-11-30,3152,1008
1990-12-14,3441,643
1991-01-15,1960,15
1991-02-15,1908,-449
1991-06-14,2977,334
1992-04-15,2675,64
1992-04-30,2233,293
1992-05-15,2298,351
1992-05-29,2346,-20
1992-06-15,2783,-73
1992-08-14,3451,1822
1992-08-31,3725,1805
1992-09-15,5434,518
1992-09-30,3115,481
1992-10-06,3085,456
1992-10-13,2997,278
1992-10-20,2953,531
1992-10-27,3644,1149
1992-11-03,4101,2241
1992-11-10,4115,2185
1992-11-17,4376,2098
1992-11-24,4300,2210
1992-12-01,5237,1786
1992-12-08,4165,908
1992-12-15,4320,1136
1992-12-22,2394,937
1992-12-29,2398,913
1993-01-05,3705,2300
1993-01-12,4477,2185
1993-01-19,4631,2393
1993-01-26,4619,2507
1993-02-02,4597,1488
1993-02-09,3812,1570
1993-02-16,3409,1220
1993-02-23,3090,-287
1993-03-02,3902,-1222
1993-03-09,4188,-1034
1993-03-16,5182,-1940
1993-03-23,2574,-1426
1993-03-30,2421,-1291
1993-04-06,2231,-109
1993-04-13,2064,-335
1993-04-20,2411,-1388
1993-04-27,2795,-1419
1993-05-04,2707,-560
1993-05-11,3878,128
1993-05-18,4095,486
1993-05-25,4251,829
1993-06-01,4830,851
1993-06-08,6970,960
1993-06-15,6782,1142
1993-06-22,3685,553
1993-06-29,4041,840
1993-07-06,4027,1064
1993-07-13,3991,785
1993-07-20,3967,567
1993-07-27,3842,470
1993-08-03,4619,-896
1993-08-10,3408,-306
1993-08-17,3102,998
