Date,Institutional Net,Retail Net
1986-01-15,15286,-512
1986-01-31,18509,776
1986-02-14,12191,-1841
1986-02-28,13528,1022
1986-03-14,12610,-566
1986-03-31,7980,-1477
1986-04-15,8798,-2377
1986-04-30,10269,-5388
1986-05-15,10671,-4879
1986-05-30,12744,-4766
1986-06-13,11851,-3550
1986-06-30,7983,-1641
1986-07-15,9369,-4409
1986-07-31,12719,-1269
1986-08-15,13879,634
1986-08-29,17296,1403
1986-09-15,15783,-2544
1986-09-30,9109,-3422
1986-10-15,10633,-3137
1986-10-31,11675,-2776
1986-11-14,11507,-4942
1986-11-28,13028,-4348
1986-12-15,15307,-5375
1986-12-31,12032,-4634
1987-01-15,11788,-5756
1987-01-30,16910,-9827
1987-02-13,19583,-9501
1987-02-27,18010,-8692
1987-03-13,23243,-11091
1987-03-31,20108,-11633
1987-04-15,22182,-7796
1987-04-30,22816,-5653
1987-05-15,22996,-4416
1987-05-29,23885,-4188
1987-06-15,24313,-3268
1987-06-30,16459,-8352
1987-07-15,18430,-10330
1987-07-31,16502,-6094
1987-08-14,15792,-6705
1987-08-31,17798,-10902
1987-09-15,12839,-7439
1987-09-30,12728,-7966
1987-10-15,13221,-7902
1987-10-30,16745,-4631
1987-11-13,16013,-1138
1987-11-30,16794,-3319
1987-12-15,8733,-8606
1987-12-31,10001,-5816
1988-01-15,13772,-9246
1988-01-29,16150,-10135
1988-02-12,15619,-9324
1988-02-29,14128,-7798
1988-03-15,13033,-8605
1988-03-31,15499,-8535
1988-04-15,17433,-9130
1988-04-29,19734,-9816
1988-05-13,19335,-7912
1988-05-31,23929,-7420
1988-06-15,16795,-11247
1988-06-30,15528,-9040
1988-07-15,15094,-7667
1988-07-29,20479,-6905
1988-08-15,22621,-1353
1988-08-31,25806,612
1988-09-15,22774,-1930
1988-09-30,14030,-6853
1988-10-14,16463,-10222
1988-10-31,17801,-7383
1988-11-15,15004,-570
1988-11-30,18661,-7681
1988-12-15,22193,-5983
1988-12-30,13838,-8523
1989-01-13,15492,-6668
1989-01-31,16931,-8515
1989-02-15,18903,-6418
1989-02-28,29310,2357
1989-03-15,12062,2105
1989-03-31,12582,-2200
1989-04-14,13205,-3144
1989-04-28,15138,-1003
1989-05-15,15066,-3066
1989-05-31,26557,6733
1989-06-15,28019,4882
1989-06-30,15115,410
1989-07-14,15051,-218
