Date,Institutional Net,Retail Net
1986-01-15,16817,-5894
1986-01-31,17733,-7367
1986-02-14,22450,-7018
1986-02-28,28220,-6930
1986-03-14,23743,-5278
1986-03-31,20780,-4602
1986-04-15,23782,-6920
1986-04-30,22443,-4951
1986-05-15,23683,-3342
1986-05-30,27518,-1938
1986-06-13,22596,-5052
1986-06-30,20186,-7035
1986-07-15,22517,-5325
1986-07-31,22747,-4316
1986-08-15,26548,-3838
1986-08-29,37113,-8989
1986-09-15,29587,1803
1986-09-30,17644,-2845
1986-10-15,19321,-5035
1986-10-31,27924,2818
1986-11-14,29195,1705
1986-11-28,29988,-2670
1986-12-15,23780,1076
1986-12-31,16651,-3351
1987-01-15,22338,-2515
1987-01-30,25407,-4150
1987-02-13,28317,-2259
1987-02-27,28838,-2315
1987-03-13,26267,-2254
1987-03-31,21825,-8795
1987-03-31,2200,0
1987-04-15,24651,-7915
1987-04-15,2200,0
1987-04-30,25738,-7146
1987-04-30,2200,0
1987-05-15,25343,-5138
1987-05-15,2200,0
1987-05-29,26417,-870
1987-05-29,2200,0
1987-06-15,25016,-2172
1987-06-30,19457,-3172
1987-07-15,23268,257
1987-07-31,22455,2312
1987-08-14,26717,-898
1987-08-31,25235,-6315
1987-09-15,16520,-2802
1987-09-30,19758,2187
1987-10-15,18361,-4705
1987-10-30,24050,-6088
1987-11-13,27742,-3535
1987-11-30,33872,-3217
1987-12-15,15340,6961
1987-12-31,19770,723
1988-01-15,19421,-41
1988-01-29,23763,2076
1988-02-12,28572,1489
1988-02-29,26311,1108
1988-03-15,13629,1211
1988-03-31,18394,-4445
1988-04-15,21397,-1528
1988-04-29,23453,1902
1988-05-13,29693,5475
1988-05-31,37163,6476
1988-06-15,22496,5759
1988-06-30,20135,3625
1988-07-15,25737,3301
1988-07-29,25660,4420
1988-08-15,28557,2969
1988-08-31,29853,4173
1988-09-15,33919,1975
1988-09-30,16300,1931
1988-10-14,19036,-5608
1988-10-31,23800,-7840
1988-11-15,25912,-10277
1988-11-30,26030,-8844
1988-12-15,27886,-1221
