Date,Institutional Net,Retail Net
1999-01-05,2091,-1668
1999-01-12,6524,-695
1999-01-19,4928,-860
1999-01-26,5594,-102
1999-02-02,25120,-1962
1999-02-09,29863,-91
1999-02-16,29660,-615
1999-02-23,36877,2235
1999-03-02,33859,4038
1999-03-09,39360,5738
1999-03-16,31760,1025
1999-03-23,28225,3642
1999-03-30,35941,443
1999-04-06,29468,-1752
1999-04-13,30733,-3283
1999-04-20,42954,-186
1999-04-27,39902,113
1999-05-04,40995,47
1999-05-11,41629,-1096
1999-05-18,44188,-3139
1999-05-25,46671,-1623
1999-06-01,52762,-100
1999-06-08,56567,-671
1999-06-15,32550,-2787
1999-06-22,32609,-1178
1999-06-29,32485,-3535
1999-07-06,37903,498
1999-07-13,36960,-2255
1999-07-20,38375,-5527
1999-07-27,40455,-5455
1999-08-03,40373,-7309
1999-08-10,38872,-9669
1999-08-17,46742,-5672
1999-08-24,46032,-2959
1999-08-31,46754,-3668
1999-09-07,46182,-5667
1999-09-14,30110,-1187
1999-09-21,33418,-2682
1999-09-28,30684,-3294
1999-10-05,34371,-10975
1999-10-12,35852,-11585
1999-10-19,37456,-16215
1999-10-26,36998,-8800
1999-11-02,43121,-7785
1999-11-09,46480,-3750
1999-11-16,50916,-1711
1999-11-23,56612,-3680
1999-11-30,61742,-3828
1999-12-07,73185,-3618
1999-12-14,48263,-1715
1999-12-21,36929,-4943
1999-12-28,44378,-4033
2000-01-04,41812,-9379
2000-01-11,42985,-11225
2000-01-18,50956,-7081
2000-01-25,54345,-7640
2000-02-01,63229,-7472
2000-02-08,58475,-7333
2000-02-15,53822,-6971
2000-02-22,51607,-10896
2000-02-29,54674,-5588
2000-03-07,65519,-6418
2000-03-14,40693,-5359
2000-03-21,40472,-6634
2000-03-28,41858,-6448
2000-04-04,43411,-10092
2000-04-11,42975,-10098
2000-04-18,44986,-8889
2000-04-25,46636,-9674
2000-05-02,48967,-9634
2000-05-09,50334,-14017
2000-05-16,50411,-12178
2000-05-23,54393,-13538
2000-05-30,51539,-15665
2000-06-06,52475,-19522
2000-06-13,55816,-19091
2000-06-20,42877,-18801
2000-06-27,41205,-16980
2000-07-05,43376,-20627
2000-07-11,42487,-18952
2000-07-18,45289,-14951
2000-07-25,46812,-16700
2000-08-01,47573,-13755
2000-08-08,54270,-9733
2000-08-15,54517,-11868
2000-08-22,58094,-13771
2000-08-29,59476,-13166
2000-09-05,64452,-15815
2000-09-12,74369,-19498
2000-09-19,63313,-17417
2000-09-26,60087,-15061
2000-10-03,59260,-16234
2000-10-10,60954,-17976
2000-10-17,62971,-16426
2000-10-24,66575,-16722
2000-10-31,64555,-16639
2000-11-07,62307,-16572
2000-11-14,66871,-17124
2000-11-21,70384,-15693
2000-11-28,74683,-19940
2000-12-05,72757,-23837
2000-12-12,77911,-26573
2000-12-19,55037,-30327
2000-12-26,55982,-28803
2001-01-02,55976,-29011
2001-01-09,67152,-29439
2001-01-16,69606,-31516
2001-01-23,66995,-27251
2001-01-30,68248,-29133
2001-02-06,73871,-31103
2001-02-13,74198,-27747
2001-02-20,78843,-26879
2001-02-27,82261,-26523
2001-03-06,78973,-28046
2001-03-13,92884,-27252
2001-03-20,64628,-22139
2001-03-27,63804,-16396
2001-04-03,65030,-16635
2001-04-10,64052,-16564
2001-04-17,64681,-25247
2001-04-24,68317,-30314
2001-05-01,70806,-30390
2001-05-08,75530,-26923
2001-05-15,74862,-21791
2001-05-22,79249,-19654
2001-05-29,77259,-20968
2001-06-05,83564,-16755
2001-06-12,97862,-6157
2001-06-19,60981,-8331
2001-06-26,61607,-11495
2001-07-03,62397,-8401
2001-07-10,65920,-10023
2001-07-17,67351,-15134
2001-07-24,67010,-22830
2001-07-31,68445,-23300
2001-08-07,72151,-24866
2001-08-14,71846,-27284
2001-08-21,78402,-28176
2001-08-28,81465,-30371
2001-09-04,82880,-27257
2001-09-10,96125,-25312
2001-09-18,72351,-34055
2001-09-25,77652,-34625
2001-10-02,81213,-35953
2001-10-09,85439,-38046
2001-10-16,84554,-31574
2001-10-23,86774,-21922
2001-10-30,83402,-28108
2001-11-06,80926,-23227
2001-11-13,93237,-21653
2001-11-20,96107,-13503
2001-11-27,94714,-9642
2001-12-04,86401,-17284
2001-12-11,94736,-14536
2001-12-18,68588,-30345
2001-12-21,70081,-24526
2001-12-28,69632,-14708
2002-01-08,75500,-28563
2002-01-15,79895,-23781
2002-01-22,80896,-22235
2002-01-29,92595,-15710
2002-02-05,91456,-14395
2002-02-12,91415,-18192
2002-02-19,90568,-18271
2002-02-26,89120,-19256
2002-03-05,98529,-20922
2002-03-12,89205,-25010
2002-03-19,68019,-25008
2002-03-26,74320,-27950
2002-04-02,75632,-29146
2002-04-09,75782,-28311
2002-04-16,77098,-28738
2002-04-23,75059,-33427
2002-04-30,82698,-38152
2002-05-07,91495,-39644
2002-05-14,89768,-38301
2002-05-21,95272,-38505
2002-05-28,100818,-39577
2002-06-04,106729,-38039
2002-06-11,107787,-29166
2002-06-18,70514,-32459
2002-06-25,81642,-30830
2002-07-02,80897,-34942
2002-07-09,78673,-34569
2002-07-16,79986,-29791
2002-07-23,81663,-31389
2002-07-30,80605,-25839
2002-08-06,79846,-19580
2002-08-13,74624,-21490
2002-08-20,77804,-20171
2002-08-27,78200,-23442
2002-09-03,82060,-23521
2002-09-10,92911,-25228
2002-09-17,63655,-23437
2002-09-24,64932,-23043
2002-10-01,65761,-24545
2002-10-08,68006,-22080
2002-10-15,65115,-23393
2002-10-22,65323,-22027
2002-10-29,60692,-24664
2002-11-05,66437,-31556
2002-11-12,66406,-29611
2002-11-19,67684,-30036
2002-11-26,66041,-26455
2002-12-03,72186,-27568
2002-12-10,88588,-29651
2002-12-17,63197,-30017
2002-12-23,62892,-31415
2002-12-31,62746,-29119
2003-01-07,62628,-28513
2003-01-14,73620,-30207
2003-01-21,77852,-30826
2003-01-28,73202,-28460
2003-02-04,71309,-29956
2003-02-11,77461,-31695
2003-02-18,76132,-28179
2003-02-25,75634,-27850
2003-03-04,88042,-28744
2003-03-11,100902,-26983
2003-03-18,59817,-19320
2003-03-25,56098,-14742
2003-04-01,59244,-17509
2003-04-08,55793,-15646
2003-04-15,60705,-15988
2003-04-22,68194,-18493
2003-04-29,72846,-22636
2003-05-06,80528,-20272
2003-05-13,72251,-18817
2003-05-20,77798,-23343
2003-05-27,78787,-19183
2003-06-03,79702,-24118
2003-06-10,103944,-22693
2003-06-17,69364,-25554
2003-06-24,67042,-23133
2003-07-01,73185,-22321
2003-07-08,69428,-20183
