Date,Institutional Net,Retail Net
1999-01-05,2091,-1668
1999-01-12,6524,-695
1999-01-19,4928,-860
1999-01-26,5594,-102
1999-02-02,25120,-1962
1999-02-09,29863,-91
1999-02-16,29660,-615
1999-02-23,36877,2235
1999-03-02,33859,4038
1999-03-09,39360,5738
1999-03-16,31760,1025
1999-03-23,28225,3642
1999-03-30,35941,443
1999-04-06,29468,-1752
1999-04-13,30733,-3283
1999-04-20,42954,-186
1999-04-27,39902,113
1999-05-04,40995,47
1999-05-11,41629,-1096
1999-05-18,44188,-3139
1999-05-25,46671,-1623
1999-06-01,52762,-100
1999-06-08,56567,-671
1999-06-15,32550,-2787
1999-06-22,32609,-1178
1999-06-29,32485,-3535
1999-07-06,37903,498
1999-07-13,36960,-2255
1999-07-20,38375,-5527
1999-07-27,40455,-5455
1999-08-03,40373,-7309
1999-08-10,38872,-9669
1999-08-17,46742,-5672
1999-08-24,46032,-2959
1999-08-31,46754,-3668
1999-09-07,46182,-5667
1999-09-14,30110,-1187
1999-09-21,33418,-2682
1999-09-28,30684,-3294
1999-10-05,34371,-10975
1999-10-12,35852,-11585
1999-10-19,37456,-16215
1999-10-26,36998,-8800
1999-11-02,43121,-7785
1999-11-09,46480,-3750
1999-11-16,50916,-1711
1999-11-23,56612,-3680
1999-11-30,61742,-3828
1999-12-07,73185,-3618
1999-12-14,48263,-1715
1999-12-21,36929,-4943
1999-12-28,44378,-4033
2000-01-04,41812,-9379
2000-01-11,42985,-11225
2000-01-18,50956,-7081
2000-01-25,54345,-7640
2000-02-01,63229,-7472
2000-02-08,58475,-7333
2000-02-15,53822,-6971
2000-02-22,51607,-10896
2000-02-29,54674,-5588
2000-03-07,65519,-6418
2000-03-14,40693,-5359
2000-03-21,40472,-6634
2000-03-28,41858,-6448
2000-04-04,43411,-10092
2000-04-11,42975,-10098
2000-04-18,44986,-8889
2000-04-25,46636,-9674
2000-05-02,48967,-9634
2000-05-09,50334,-14017
2000-05-16,50411,-12178
2000-05-23,54393,-13538
2000-05-30,51539,-15665
2000-06-06,52475,-19522
2000-06-13,55816,-19091
2000-06-20,42877,-18801
2000-06-27,41205,-16980
2000-07-05,43376,-20627
2000-07-11,42487,-18952
2000-07-18,45289,-14951
2000-07-25,46812,-16700
2000-08-01,47573,-13755
2000-08-08,54270,-9733
2000-08-15,54517,-11868
2000-08-22,58094,-13771
