Date,Institutional Net,Retail Net
1986-01-15,15563,-6146
1986-01-31,17223,-9884
1986-02-14,21940,-4862
1986-02-28,21963,-5677
1986-03-14,28536,-10806
1986-03-31,14947,-6862
1986-04-15,18107,-7666
1986-04-30,17759,-7903
1986-05-15,20343,-9016
1986-05-30,19606,-1683
1986-06-13,32812,-7600
1986-06-30,17682,-10398
1986-07-15,30656,-14147
1986-07-31,29439,-11154
1986-08-15,30440,-1778
1986-08-29,44797,81
1986-09-15,43306,4880
1986-09-30,22856,-6272
1986-10-15,26880,-5535
1986-10-31,40898,4916
1986-11-14,37926,860
1986-11-28,37686,-435
1986-12-15,34152,7162
1986-12-31,17774,-4205
1987-01-15,22512,-9278
1987-01-30,25415,-2776
1987-02-13,21072,-3704
1987-02-27,22667,-4371
1987-03-13,27589,-5841
1987-03-31,24930,-9000
1987-04-15,28087,-6752
1987-04-30,30146,-3569
1987-05-15,32056,-3545
1987-05-29,35733,10184
1987-06-15,32552,4259
1987-06-30,23357,8307
1987-07-15,29313,4623
1987-07-31,29594,2700
1987-08-14,30655,1972
1987-08-31,31458,-4532
1987-09-15,31970,677
1987-09-30,31405,2107
1987-10-15,36245,-10116
1987-10-30,37552,-10631
1987-11-13,44618,-7453
1987-11-30,49327,-9312
1987-12-15,25973,3375
1987-12-31,30795,-8172
1988-01-15,38321,724
1988-01-29,41132,250
1988-02-12,45569,2916
1988-02-29,51423,-8048
1988-03-15,28176,-25160
1988-03-31,36288,-14143
1988-04-15,32637,-10136
1988-04-29,33246,-5024
1988-05-13,40959,-8787
1988-05-31,41552,-418
1988-06-15,28335,7559
1988-06-30,31992,7672
1988-07-15,37324,8990
1988-07-29,40617,1221
1988-08-15,38498,1288
1988-08-31,57240,9949
1988-09-15,53497,5610
1988-09-30,27882,4852
1988-10-14,35356,-2741
1988-10-31,36377,-2551
1988-11-15,35640,-3325
1988-11-30,41713,-3527
1988-12-15,48094,4522
1988-12-30,28442,5775
1989-01-13,34583,8026
1989-01-31,41360,7286
1989-02-15,39791,-6363
1989-02-28,42207,-7658
1989-03-15,42409,8612
1989-03-31,44153,6389
1989-04-14,43770,511
1989-04-28,46514,3530
1989-05-15,60730,9813
1989-05-31,65080,10326
1989-06-15,84363,9637
1989-06-30,39196,6348
1989-07-14,40318,5323
1989-07-31,48243,-4381
1989-08-15,49649,7763
1989-08-31,67491,14896
1989-09-15,84075,11236
1989-09-29,45716,-872
1989-10-13,46203,2560
1989-10-31,50909,4301
1989-11-15,51998,7726
1989-11-30,53845,-6182
1989-12-15,54981,991
1989-12-29,42221,-5927
1990-01-15,52871,5959
1990-01-31,53667,-7209
1990-02-15,54355,-9388
1990-02-28,73542,5596
1990-03-15,87786,4933
1990-03-30,48503,3311
1990-04-12,51804,2404
1990-04-30,61636,-1641
1990-05-15,62199,-15768
1990-05-31,61991,-14677
1990-06-15,57975,-2549
1990-06-29,34871,-10067
1990-07-13,44637,-21276
1990-07-31,45865,-17438
1990-08-15,43598,-8568
1990-08-31,47633,-14821
1990-09-14,67791,-15681
1990-09-28,45194,-10634
1990-10-15,47969,-18095
1990-10-31,54114,-14194
1990-11-15,69392,-10247
1990-11-30,71250,-2609
1990-12-14,76004,4536
1990-12-31,42079,7415
1991-01-15,37456,6862
1991-01-31,48491,-6215
1991-02-15,56968,-11720
1991-02-28,59344,-1347
1991-03-15,59381,3686
1991-03-28,37690,7243
1991-04-15,40894,-2962
1991-04-30,41962,-4474
1991-05-15,43490,-747
1991-05-31,46608,1144
1991-06-14,61973,10040
1991-06-28,36002,-5464
1991-07-15,40580,-14741
1991-07-31,41904,-5302
1991-08-15,45950,-6183
1991-08-30,49939,-2556
1991-09-16,62586,-17906
1991-09-30,39509,-16665
1991-10-15,55074,-22574
1991-10-31,52589,-14144
1991-11-15,58295,-18565
1991-11-29,59065,-9018
1991-12-13,64402,-11062
1991-12-31,44695,-17101
1992-01-15,45024,-6769
1992-01-31,51025,-10166
1992-02-14,54310,-706
1992-02-28,63569,2769
1992-03-13,83804,11157
1992-03-31,50911,11164
1992-04-15,59742,8031
1992-04-30,60138,5616
1992-05-15,54510,-7031
1992-05-29,58000,-13601
1992-06-15,61750,-12530
1992-06-30,47298,-10495
1992-07-15,49836,-8641
1992-07-31,53213,3176
1992-08-14,50078,-2102
1992-08-31,57882,-14657
1992-09-15,50731,-5340
1992-09-30,32784,-13536
1992-10-06,33796,-13724
1992-10-13,29961,-8480
1992-10-20,31788,-5094
1992-10-27,32112,-4339
1992-11-03,32909,-2834
1992-11-10,34979,3307
1992-11-17,42526,6140
1992-11-24,40641,1037
1992-12-01,43765,3630
1992-12-08,51089,2243
1992-12-15,45648,-943
1992-12-22,30873,-1244
1992-12-29,39032,10547
1993-01-05,43787,13436
1993-01-12,45778,14221
1993-01-19,51430,16612
1993-01-26,44813,-967
1993-02-02,43398,-934
1993-02-09,49492,-12684
1993-02-16,51176,-17167
1993-02-23,54370,-19381
1993-03-02,57224,-21142
1993-03-09,66075,-16389
1993-03-16,72858,-17946
1993-03-23,42441,-21719
1993-03-30,44490,-17479
1993-04-06,45663,-17388
1993-04-13,50629,-17242
1993-04-20,52652,-16837
1993-04-27,53051,-13282
1993-05-04,54701,-12934
1993-05-11,54661,-8088
1993-05-18,53281,-6693
1993-05-25,59048,-15014
1993-06-01,62232,-15946
1993-06-08,67703,-14106
1993-06-15,62070,-7378
1993-06-22,42875,-2634
1993-06-29,41074,-4454
1993-07-06,43414,-1162
1993-07-13,50784,234
1993-07-20,50227,-176
1993-07-27,45666,-7932
1993-08-03,45868,-11539
1993-08-10,47604,-8765
1993-08-17,51391,-10824
1993-08-24,53661,-3567
1993-08-31,56855,-3091
1993-09-07,68596,-1284
1993-09-14,79113,8286
1993-09-21,56525,12813
1993-09-28,54982,11710
1993-10-05,58249,14662
1993-10-12,62752,15228
1993-10-19,91715,26525
1993-10-26,101344,27688
1993-11-02,92391,24658
1993-11-09,91513,22222
1993-11-16,71211,8244
1993-11-23,80454,22684
1993-11-30,90510,21780
1993-12-07,88043,20031
1993-12-14,95562,23127
1993-12-21,97992,30156
1993-12-28,97040,26949
1994-01-04,78293,27369
1994-01-11,82061,25954
1994-01-18,83100,25266
1994-01-25,96921,23843
1994-02-01,80455,13664
1994-02-08,77734,9540
1994-02-15,80483,4797
1994-02-22,78138,-401
1994-03-01,79471,-2546
1994-03-08,80212,347
1994-03-15,85246,5321
1994-03-22,47177,7994
1994-03-29,47784,3389
1994-04-05,45970,1461
1994-04-12,46659,2852
1994-04-19,47798,4296
1994-04-26,49661,5689
1994-05-03,54073,239
1994-05-10,56391,4674
1994-05-17,59912,14805
1994-05-24,65071,16679
1994-05-31,67502,19496
1994-06-07,82561,18182
1994-06-14,75389,18911
1994-06-21,55653,9121
1994-06-28,56559,5014
1994-07-05,57834,3445
1994-07-12,63114,8330
1994-07-19,65701,6245
1994-07-26,66780,7836
1994-08-02,68331,9052
1994-08-09,70257,13737
1994-08-16,67305,17134
1994-08-23,67981,7982
1994-08-30,67756,10620
1994-09-06,68966,9113
1994-09-13,67772,9922
1994-09-20,66377,7250
1994-09-27,43492,4010
1994-10-04,49220,10864
1994-10-11,60584,22278
1994-10-18,57451,13345
1994-10-25,59829,7361
1994-11-01,62423,8908
1994-11-08,67767,10673
1994-11-15,75198,12156
1994-11-22,82284,11552
1994-11-29,83932,14996
1994-12-06,98016,22738
1994-12-13,101604,20593
1994-12-20,97777,21827
1994-12-27,72891,23244
1995-01-03,78468,23138
1995-01-10,91113,24461
1995-01-17,83851,20264
1995-01-24,81490,17569
1995-01-31,83079,15658
1995-02-07,83256,17365
1995-02-14,81946,14471
1995-02-21,84072,11268
1995-02-28,84581,11318
1995-03-07,95272,7850
1995-03-14,82074,2712
1995-03-21,42807,2186
1995-03-28,44217,1810
1995-04-04,47117,1463
