Date,Institutional Net,Retail Net
1995-05-23,2728,-890
1995-05-30,3226,-1131
1995-06-06,4055,-2210
1995-06-13,3929,-1694
1995-06-20,3317,-1699
1995-06-27,3416,-1417
1995-07-03,3899,-1400
1995-07-11,4236,-2022
1995-07-18,5694,-3077
1995-07-25,6476,-3023
1995-08-01,6303,-2424
1995-08-08,7365,-2788
1995-08-15,9818,-2429
1995-08-22,10807,-2284
1995-08-29,11459,-2361
1995-09-05,12414,-2733
1995-09-12,12999,-1631
1995-09-19,10601,-1231
1995-09-26,11289,-822
1995-10-03,11415,-121
1995-10-10,12040,-292
1995-10-17,12826,-94
1995-10-24,13101,-267
1995-10-31,13091,-38
1995-11-07,13442,183
1995-11-14,13765,-160
1995-11-21,14184,420
1995-11-28,14618,-149
1995-12-05,14740,1822
1995-12-12,14968,602
1995-12-19,12573,1657
1995-12-26,13020,1452
1996-01-02,14492,1367
1996-01-09,14277,1673
1996-01-16,14348,1725
1996-01-23,16108,1718
1996-01-30,16900,1357
1996-02-06,18363,1378
1996-02-13,19480,2306
1996-02-20,19228,1885
1996-02-27,19207,1627
1996-03-05,19614,2396
1996-03-12,19008,1776
1996-03-19,12134,929
1996-03-26,12565,1568
1996-04-02,13175,1164
1996-04-09,13752,1298
1996-04-16,14008,850
1996-04-23,15965,-121
1996-04-30,16232,547
1996-05-07,16343,1294
1996-05-14,17090,1667
1996-05-21,15795,935
1996-05-28,15080,303
1996-06-04,15806,1127
1996-06-11,17097,1506
1996-06-18,13555,516
1996-06-25,14721,1743
1996-07-02,14557,1284
1996-07-09,15042,1743
1996-07-16,13701,4102
1996-07-23,18961,821
1996-07-30,17983,301
1996-08-06,18842,90
1996-08-13,18780,-1591
1996-08-20,19423,-1291
1996-08-27,19250,35
1996-09-03,17499,-32
1996-09-10,15466,-318
1996-09-17,13651,-1669
1996-09-24,18691,-1996
1996-10-01,20639,-2426
1996-10-08,22309,-2474
1996-10-15,23700,-191
1996-10-22,26959,2013
1996-10-29,28703,2712
1996-11-05,29650,1659
1996-11-12,28441,2399
1996-11-19,28384,1919
1996-11-26,30448,1778
1996-12-03,30057,1343
1996-12-10,30166,1450
1996-12-17,26692,-8
1996-12-24,28571,-640
1996-12-31,28738,-1054
1997-01-07,28294,-1357
1997-01-14,27282,-1356
1997-01-21,28592,-781
1997-01-28,30823,372
1997-02-04,33300,277
1997-02-11,35967,-441
1997-02-18,38768,-1160
1997-02-25,41922,-1151
1997-03-04,38287,235
1997-03-11,39624,689
1997-03-18,26734,614
1997-03-25,27661,63
1997-04-01,28655,-856
1997-04-08,29699,-1458
1997-04-15,30031,402
1997-04-22,29928,-397
1997-04-29,29057,518
1997-05-06,29436,613
1997-05-13,34371,977
1997-05-20,33656,694
1997-05-27,35185,1625
1997-06-03,36072,-220
1997-06-10,38533,2599
1997-06-17,31395,232
1997-06-24,32583,585
1997-07-01,32483,1194
1997-07-08,31124,-224
1997-07-15,32180,645
1997-07-22,33613,962
1997-07-29,35193,-1211
1997-08-05,36813,-2189
1997-08-12,39299,-3148
1997-08-19,38343,-3067
1997-08-26,37809,-2032
1997-09-02,36994,-1621
1997-09-09,36813,-1375
1997-09-16,24793,-3441
1997-09-23,28325,-4316
1997-09-30,28231,-4427
1997-10-07,30996,-3639
1997-10-14,31544,-4485
1997-10-21,34160,-4286
1997-10-28,35465,1518
1997-11-04,34761,1157
1997-11-11,32104,1138
1997-11-18,31854,1691
1997-11-25,31925,946
1997-12-02,30468,-629
1997-12-09,27688,-820
1997-12-16,21811,-2055
1997-12-19,23745,-2048
1997-12-23,23606,-1209
1997-12-30,22150,-1256
1998-01-06,21765,-1841
1998-01-13,22318,549
1998-01-20,24222,541
1998-01-27,32711,1294
1998-02-03,33171,2761
1998-02-10,32446,2875
1998-02-17,31056,2815
1998-02-24,33189,4317
1998-03-03,34890,2170
1998-03-10,33380,2204
1998-03-17,21443,3393
1998-03-24,22856,546
1998-03-31,29302,231
1998-04-07,31018,-1030
1998-04-14,32296,-2408
1998-04-21,33166,-3204
1998-04-28,34018,-1905
1998-05-05,32927,-2023
1998-05-12,34054,-3562
1998-05-19,38463,-791
1998-05-26,43273,1785
1998-06-02,46475,2764
1998-06-09,46130,3125
1998-06-16,34228,4138
1998-06-23,37610,2916
1998-06-30,39882,2024
1998-07-07,40205,2531
1998-07-14,38440,877
1998-07-21,38498,-616
1998-07-28,39873,-1846
1998-08-04,39467,-859
1998-08-11,41896,273
1998-08-18,39409,400
1998-08-25,39733,3799
1998-09-01,39788,4500
1998-09-08,42274,5548
1998-09-15,26395,3550
1998-09-22,26715,2237
1998-09-29,23566,2420
1998-10-06,27140,2980
1998-10-13,27101,1950
1998-10-20,24313,436
1998-10-27,22415,215
1998-11-03,23545,-675
1998-11-10,22225,-1844
1998-11-17,23810,-1929
1998-11-24,23472,-2242
1998-12-01,22857,-2217
1998-12-08,21444,-1779
1998-12-15,13916,-2826
1998-12-22,14688,-2756
1998-12-29,15035,-3474
1999-01-05,17122,-4765
1999-01-12,17999,-802
1999-01-19,17166,1533
1999-01-26,18164,1057
1999-02-02,17171,304
1999-02-09,16667,167
1999-02-16,14818,-902
1999-02-23,14617,-748
1999-03-02,16061,-415
1999-03-09,19818,-848
1999-03-16,12521,-865
1999-03-23,13883,-1097
1999-03-30,13376,-596
1999-04-06,13469,-198
1999-04-13,14242,-533
1999-04-20,14986,-754
1999-04-27,16073,-749
1999-05-04,17386,434
1999-05-11,18754,116
1999-05-18,17775,884
1999-05-25,21849,3598
1999-06-01,21435,3386
1999-06-08,18585,1936
1999-06-15,12679,1923
1999-06-22,15549,-51
1999-06-29,18752,387
1999-07-06,20751,1219
1999-07-13,23964,1567
1999-07-20,23155,1824
1999-07-27,23828,1785
1999-08-03,23696,2463
1999-08-10,24844,4095
1999-08-17,25648,1887
1999-08-24,28169,1990
1999-08-31,28279,2538
1999-09-07,28922,1742
1999-09-14,20173,37
1999-09-21,19854,1111
1999-09-28,19572,1802
1999-10-05,21859,1711
1999-10-12,20796,1290
1999-10-19,20259,3370
1999-10-26,19755,3582
1999-11-02,20306,2671
1999-11-09,20985,228
1999-11-16,21313,-157
1999-11-23,20821,1
1999-11-30,19877,778
1999-12-07,19645,-223
1999-12-14,9174,-1355
1999-12-21,9445,19
1999-12-28,8408,-289
2000-01-04,9334,1436
2000-01-11,9423,788
2000-01-18,11001,-473
2000-01-25,11154,-597
2000-02-01,11231,-176
2000-02-08,12256,-1027
2000-02-15,12742,-1469
2000-02-22,12292,-910
2000-02-29,14721,-1802
2000-03-07,19616,-1153
2000-03-14,18450,-3451
2000-03-21,11712,-3576
2000-03-28,12162,-3709
2000-04-04,13630,-1060
2000-04-11,14059,-1462
2000-04-18,16928,-467
2000-04-25,16548,-413
2000-05-02,14900,-1885
2000-05-09,17227,935
2000-05-16,18959,2793
2000-05-23,20771,2791
2000-05-30,18482,1608
2000-06-06,23440,3576
2000-06-13,23284,4368
2000-06-20,11574,4388
2000-06-27,12446,5325
2000-07-05,9287,57
2000-07-11,10010,-535
2000-07-18,10161,-392
2000-07-25,10883,-1380
2000-08-01,10692,-1461
2000-08-08,11691,-1571
2000-08-15,11736,-1641
2000-08-22,13401,-1296
