Date,Institutional Net,Retail Net
2004-08-17,5667,-312
2004-10-19,9970,807
2004-10-26,10009,611
2004-11-02,9858,779
2004-11-09,9505,636
2004-11-16,9236,497
2004-11-23,8898,423
2004-11-30,9172,170
2004-12-07,11398,591
2005-03-08,5938,-1061
2005-03-29,3929,-1000
2005-04-05,3763,-934
2005-08-16,4423,-314
2005-08-30,4533,-66
2005-09-06,4345,-308
2005-09-13,6212,-557
2005-10-11,3846,-272
2005-10-18,3891,-368
2005-12-06,4581,-940
2005-12-13,6253,-537
2005-12-27,4403,-419
2006-01-03,4031,54
2006-01-10,4354,216
2006-01-17,4689,-269
2006-01-24,5457,23
2006-01-31,6323,102
2006-02-07,6080,-10
2006-02-14,6603,-227
2006-02-21,9494,52
2006-02-28,10203,375
2006-03-07,13618,953
2006-03-14,6353,940
2006-03-21,7719,209
2006-03-28,9018,277
2006-04-04,9471,12
2006-04-11,8825,-17
2006-04-18,7882,384
2006-04-25,6453,484
2006-05-02,5687,531
2006-05-09,6452,764
2006-05-16,6326,547
2006-05-23,6842,822
2006-05-30,5630,485
2006-06-06,6265,294
2006-06-13,15516,-243
2006-07-11,9752,-328
2006-07-18,7744,128
2006-07-25,7238,-251
2006-08-01,7205,-430
2006-08-08,7859,-729
2006-08-15,6098,-946
2006-08-22,8099,-1167
2006-08-29,7412,-1201
2006-09-05,7634,-1345
2006-09-12,9570,-661
2006-09-19,4258,-768
2006-09-26,4586,-1337
2006-10-03,5035,-755
2006-10-10,4094,-891
2006-10-17,4684,-928
2006-10-24,4960,-751
2006-10-31,4909,-951
2006-11-07,4545,-1196
2006-11-14,4767,-753
2006-11-21,4356,-1053
2006-11-28,4396,-1345
2006-12-05,4341,-1180
2006-12-12,4833,-1126
2006-12-19,3311,-1079
2006-12-26,3611,-1194
2007-01-03,3801,-865
2007-01-09,5157,-886
2007-01-16,5956,-855
2007-01-23,7237,-1489
2007-01-30,9242,-803
2007-02-06,7734,-943
2007-02-13,6325,-856
2007-02-20,5729,-1210
2007-02-27,5981,-1095
2007-03-06,6755,-483
2007-03-13,8351,-447
2007-03-20,3364,130
2007-03-27,3787,281
2007-04-03,3664,-4
2007-04-10,4315,-852
2007-04-17,4474,-1123
2007-04-24,5290,-1402
2007-05-01,6476,-1270
2007-05-08,7201,-1428
2007-05-15,6236,-1125
2007-05-22,7774,-1090
2007-05-29,8089,-1021
2007-06-05,6318,-1075
2007-06-12,27656,-1196
2007-06-19,14727,-1006
2007-06-26,14766,-1736
2007-07-03,15805,-1881
2007-07-10,15687,-1303
2007-07-17,16920,-1470
2007-07-24,16542,-1040
2007-07-31,16776,-738
2007-08-07,14838,-779
2007-08-14,15363,-1165
2007-08-21,17630,-857
2007-08-28,20807,-50
2007-09-04,18566,-712
2007-09-11,19385,-568
2007-09-18,4571,-617
2007-09-25,5220,-1020
2007-10-02,4743,-1330
2007-10-09,5020,-2231
2007-10-16,5093,-768
2007-10-23,6691,-1474
2007-10-30,7152,-1863
2007-11-06,7370,-2109
2007-11-13,8748,-1773
2007-11-20,11087,-2018
2007-11-27,10946,-1472
2007-12-04,7895,-1538
2007-12-11,13411,-1756
2007-12-18,6524,-3165
2007-12-24,6728,-1381
2007-12-31,5107,-1671
2008-01-08,6438,-2039
2008-01-15,5498,-2313
2008-01-22,7412,-1366
2008-01-29,7425,-1447
2008-02-05,6911,-1917
2008-02-12,6780,-2023
2008-02-19,7928,-1910
2008-02-26,8611,-2193
2008-03-04,9553,-1848
2008-03-11,12353,-1774
2008-03-18,4833,-1714
2008-03-25,5854,-1688
2008-04-01,8190,-1448
2008-04-08,8539,-1551
2008-04-15,10239,-1570
2008-04-22,10639,-1557
2008-04-29,12826,-1622
2008-05-06,12497,-1962
2008-05-13,19184,-1518
2008-05-20,18647,-968
2008-05-27,19221,-1032
2008-06-03,18989,4101
2008-06-10,25199,3593
2008-06-17,14289,-3590
2008-06-24,13776,-590
2008-07-01,14867,-1427
2008-07-08,18311,-2372
2008-07-15,15487,-1041
2008-07-22,14548,-1218
2008-07-29,17346,-865
2008-08-05,20579,-291
2008-08-12,21069,80
2008-08-19,17870,833
2008-08-26,16864,2555
2008-09-02,17578,1735
2008-09-09,19638,1721
2008-09-16,11594,2271
2008-09-23,17919,2365
2008-09-30,14359,1617
2008-10-07,14524,1239
2008-10-14,16142,441
2008-10-21,15905,951
2008-10-28,15515,955
2008-11-04,15594,921
2008-11-11,16163,853
2008-11-18,16257,746
2008-11-25,16667,47
2008-12-02,16784,396
2008-12-09,17660,1239
2008-12-16,7070,-1565
2008-12-22,6842,-1570
2008-12-30,6673,-1124
2009-01-06,6684,-1089
2009-01-13,6582,-1059
2009-01-20,7655,-725
2009-01-27,8980,-839
2009-02-03,11307,-901
2009-02-10,10517,-424
2009-02-17,10542,-466
2009-02-24,11529,-695
2009-03-03,13731,-220
2009-03-10,15875,-640
2009-03-17,12676,-1959
2009-03-24,11815,-2131
2009-03-31,10541,-2300
2009-04-07,9345,-2550
2009-04-14,9840,-177
2009-04-21,9305,536
2009-04-28,9240,149
2009-05-05,9335,-155
2009-05-12,9883,-1038
2009-05-19,11398,-1363
2009-05-26,11404,-1553
2009-06-02,11976,-1690
2009-06-09,19048,-1558
2009-06-16,4341,-1590
2009-06-23,4629,-1284
2009-06-30,5063,-950
2009-07-07,5303,-978
2009-07-14,6099,-934
2009-07-21,5028,-1323
2009-07-28,4702,-1653
2009-08-04,4908,-1829
2009-08-11,5138,-1838
2009-08-18,6268,-1874
2009-08-25,5900,-2012
2009-09-01,7457,-1828
2009-09-08,10871,-2285
2009-09-15,3165,-2066
2009-09-22,3729,-1920
2009-09-29,4731,-2342
2009-10-06,5245,-1929
2009-10-13,4944,-2549
2009-10-20,5331,-2562
2009-10-27,6617,-1924
2009-11-03,6096,-1783
2009-11-09,6397,-1465
2009-11-17,5963,-1933
2009-11-24,6509,-1754
2009-12-01,9049,-1534
2009-12-08,10527,-892
2009-12-15,4412,-1174
2009-12-22,4208,-935
2009-12-29,5021,-1771
2010-01-05,4947,-2060
2010-01-12,4315,-1931
2010-01-19,4520,-2090
2010-01-26,5435,-1397
2010-02-02,6061,-796
2010-02-09,5812,-23
2010-02-16,5156,449
2010-02-23,5560,-155
2010-03-02,6443,-481
2010-03-09,9899,-1006
2010-03-16,4304,-1334
2010-03-23,3978,-1372
2010-03-30,4094,-2133
2010-04-06,3385,-1455
2010-04-13,3769,-1951
2010-04-20,3414,-1511
2010-04-27,4243,-1792
2010-05-04,4351,-1971
2010-05-11,3787,-1707
2010-05-18,4617,-557
2010-05-25,6418,918
2010-06-01,7964,322
2010-06-08,11732,530
2010-06-15,4760,-535
2010-06-22,3755,-1256
2010-06-29,4421,-1068
2010-07-06,4866,-813
2010-07-13,4115,-911
2010-07-20,4108,-1403
2010-07-27,4521,-1956
2010-08-03,4046,-1867
2010-08-10,6044,-2323
2010-08-17,6032,-1038
2010-08-24,5340,-1118
2010-08-31,7906,-765
2010-09-07,13274,-1538
2010-09-14,4341,-2398
2010-09-21,4184,-2227
2010-09-28,4361,-2204
2010-10-05,4703,-2236
2010-10-12,5161,-2821
2010-10-19,5554,-2568
2010-10-26,5177,-2534
2010-11-02,4960,-2402
2010-11-09,4529,-2690
2010-11-16,4508,-2432
2010-11-23,4874,-2447
2010-11-30,4593,-2056
2010-12-07,5571,-1748
