Date,Institutional Net,Retail Net
2006-06-13,17468,-9601
2006-06-20,16716,-9474
2006-06-27,17189,-10625
2006-07-03,15622,-11033
2006-07-11,16669,-12048
2006-07-18,15817,-9653
2006-07-25,15633,-10588
2006-08-01,14369,-9942
2006-08-08,15839,-11387
2006-08-15,15641,-11182
2006-08-22,15598,-10983
2006-08-29,15892,-11541
2006-09-05,15614,-11208
2006-09-12,19994,-11258
2006-09-19,13267,-6123
2006-09-26,14196,-8404
2006-10-03,19331,-12511
2006-10-10,25378,-17229
2006-10-17,31503,-23743
2006-10-24,28950,-20772
2006-10-31,26112,-19380
2006-11-07,26382,-19637
2006-11-14,24006,-19419
2006-11-21,23196,-18553
2006-11-28,23416,-18290
2006-12-05,23069,-12333
2006-12-12,28655,-18781
2006-12-19,21983,-16701
2006-12-26,21463,-16187
2007-01-03,20649,-16124
2007-01-09,19289,-14360
2007-01-16,17622,-12206
2007-01-23,18545,-13137
2007-01-30,20234,-15081
2007-02-06,21901,-16930
2007-02-13,22307,-16842
2007-02-20,23321,-17907
2007-02-27,23654,-18821
2007-03-06,20819,-16518
2007-03-13,25791,-12556
2007-03-20,18191,-12922
2007-03-27,17670,-12395
2007-04-03,18405,-13129
2007-04-10,19173,-13624
2007-04-17,20790,-15228
2007-04-24,23048,-16953
2007-05-01,22444,-15967
2007-05-08,18474,-11449
2007-05-15,17145,-9648
2007-05-22,14163,-6898
2007-05-29,14686,-7303
2007-06-05,12519,-6539
2007-06-12,14840,-4561
2007-06-19,16347,-9224
2007-06-26,19971,-14733
2007-07-03,23874,-19404
2007-07-10,21474,-17206
2007-07-17,21570,-17238
2007-07-24,21493,-16178
2007-07-31,18210,-12840
2007-08-07,18216,-13227
2007-08-14,12877,-6483
2007-08-21,10938,-3131
2007-08-28,8582,-2707
2007-09-04,8802,-3296
2007-09-11,13602,-6191
2007-09-18,12098,-7467
2007-09-25,10579,-6221
2007-10-02,10254,-5805
2007-10-09,10348,-5494
2007-10-16,9512,-4423
2007-10-23,11085,-6136
2007-10-30,11813,-5720
2007-11-06,12819,-5226
2007-11-13,11073,-1530
2007-11-20,11792,-2486
2007-11-27,11890,-2317
2007-12-04,11922,-1689
2007-12-11,20587,-2128
2007-12-18,16432,-7737
2007-12-24,15404,-7687
2007-12-31,14672,-8627
2008-01-08,15449,-9092
2008-01-15,16694,-10613
2008-01-22,13424,-6596
2008-01-29,14157,-8040
2008-02-05,14766,-6824
2008-02-12,12889,-4962
2008-02-19,14307,-5890
2008-02-26,17380,-9273
2008-03-04,17326,-9181
2008-03-11,23667,-10738
2008-03-18,16976,-4361
2008-03-25,19375,-7918
2008-04-01,20887,-7465
2008-04-08,20470,-8726
2008-04-15,21882,-9937
2008-04-22,21668,-9000
2008-04-29,15596,-3622
2008-05-06,15543,-4880
2008-05-13,14835,-4264
2008-05-20,19090,-8597
2008-05-27,20721,-10334
2008-06-03,19582,-9460
2008-06-10,30835,-11294
2008-06-17,18758,-6500
2008-06-24,22338,-9944
2008-07-01,26574,-14928
2008-07-08,27196,-12000
2008-07-15,31919,-17046
2008-07-22,31031,-14264
2008-07-29,29510,-12634
2008-08-05,24533,-12113
2008-08-12,24220,-9721
2008-08-19,32156,-18433
2008-08-26,33913,-20886
2008-09-02,38820,-24026
2008-09-09,67375,-27360
2008-09-16,42240,-29562
2008-09-23,41898,-22140
2008-09-30,39099,-17838
2008-10-07,38061,-15824
2008-10-14,39678,-16896
2008-10-21,37680,-17950
2008-10-28,32164,-11860
2008-11-04,31599,-11203
2008-11-11,32106,-12043
2008-11-18,31695,-10394
2008-11-25,34155,-13037
2008-12-02,33341,-11486
2008-12-09,36687,-13668
2008-12-16,12753,-4485
2008-12-22,13216,-5271
2008-12-30,13320,-5037
2009-01-06,13838,-5948
2009-01-13,11724,-4986
2009-01-20,13107,-5628
2009-01-27,16422,-7859
2009-02-03,17023,-9119
2009-02-10,16495,-8767
2009-02-17,22968,-12117
2009-02-24,20413,-11554
2009-03-03,22128,-11240
2009-03-10,27114,-14437
2009-03-17,21210,-11861
2009-03-24,17867,-8774
2009-03-31,16208,-9131
2009-04-07,18311,-11238
2009-04-14,18699,-12714
2009-04-21,19680,-10766
2009-04-28,18029,-9771
2009-05-05,16664,-9695
2009-05-12,18991,-12595
2009-05-19,19260,-13117
2009-05-26,20577,-14589
2009-06-02,21071,-13554
2009-06-09,21877,-10366
2009-06-16,9590,-2259
2009-06-23,10753,-3323
2009-06-30,9597,-2705
2009-07-07,10561,-3293
2009-07-14,11324,-5011
2009-07-21,12968,-6689
2009-07-28,12005,-5527
2009-08-04,11957,-6068
2009-08-11,11667,-3876
2009-08-18,10980,-1401
2009-08-25,11313,-2190
2009-09-01,14849,-4823
2009-09-08,19910,-5699
2009-09-15,17827,-7886
2009-09-22,16152,-7570
2009-09-29,14251,-4092
2009-10-06,16012,-5998
2009-10-13,15959,-6832
2009-10-20,18286,-9171
2009-10-27,19157,-8287
2009-11-03,18686,-7219
2009-11-09,18392,-6353
2009-11-17,19602,-8038
2009-11-24,19595,-7193
2009-12-01,18957,-7515
2009-12-08,31269,-9375
2009-12-15,27915,-11717
2009-12-22,23482,-6784
2009-12-29,26936,-10922
2010-01-05,27403,-9661
2010-01-12,24199,-9221
2010-01-19,24005,-8196
2010-01-26,36020,-18142
2010-02-02,42413,-26433
2010-02-09,35461,-20187
2010-02-16,36123,-20853
2010-02-23,34939,-19848
2010-03-02,33219,-18517
2010-03-09,38327,-19390
2010-03-16,28206,-13454
2010-03-23,33731,-20056
2010-03-30,42315,-27752
2010-04-06,32232,-16651
2010-04-13,30384,-14713
2010-04-20,29556,-16309
2010-04-27,31477,-17967
2010-05-04,33509,-20806
2010-05-11,30102,-17480
2010-05-18,26578,-14465
2010-05-25,26401,-13455
2010-06-01,25383,-12733
2010-06-08,26299,-14213
2010-06-15,20554,-12408
2010-06-22,19812,-11200
2010-06-29,17513,-9020
2010-07-06,16738,-9105
2010-07-13,14701,-7271
2010-07-20,13949,-6532
2010-07-27,12434,-5559
2010-08-03,13279,-5811
2010-08-10,18436,-10796
2010-08-17,20816,-13333
2010-08-24,17172,-8577
2010-08-31,12723,-4352
2010-09-07,12940,-5138
2010-09-14,13632,-5923
2010-09-21,15519,-8419
2010-09-28,20484,-12839
2010-10-05,19696,-12310
2010-10-12,18068,-10466
2010-10-19,19036,-8588
2010-10-26,18537,-7967
2010-11-02,20672,-9281
2010-11-09,20357,-10613
2010-11-16,17333,-6924
2010-11-23,18819,-8311
2010-11-30,18996,-8265
2010-12-07,20253,-8651
2010-12-14,13276,-4927
2010-12-21,15311,-6117
2010-12-28,14967,-6417
2011-01-04,16801,-8091
2011-01-11,25729,-13303
2011-01-18,22296,-11835
2011-01-25,28171,-16519
2011-02-01,31533,-20075
2011-02-08,33381,-21554
2011-02-15,29457,-17034
2011-02-22,27235,-16001
2011-03-01,33147,-23260
2011-03-08,39538,-28074
2011-03-15,25639,-15788
2011-03-22,27595,-17842
2011-03-29,28248,-17720
2011-04-05,25622,-15138
2011-04-12,25321,-15143
2011-04-19,25834,-13024
2011-04-26,27538,-14301
2011-05-03,28600,-14380
2011-05-10,25601,-11476
2011-05-17,28442,-14883
2011-05-24,34403,-18745
2011-05-31,28207,-13986
2011-06-07,35442,-18634
2011-06-14,40672,-26279
2011-06-21,33516,-18594
2011-06-28,37934,-23763
2011-07-05,34994,-20920
2011-07-12,36716,-22007
2011-07-19,34543,-20813
2011-07-26,46603,-32684
2011-08-02,44288,-30299
2011-08-09,41200,-29541
2011-08-16,38312,-27702
2011-08-23,40304,-30074
2011-08-30,37791,-27463
2011-09-06,35218,-20149
2011-09-13,43844,-26433
2011-09-20,44911,-28674
2011-09-27,48660,-28270
2011-10-04,51381,-30577
2011-10-11,47819,-30022
2011-10-18,46759,-26182
2011-10-25,41946,-22205
2011-11-01,42160,-28114
2011-11-08,39603,-26303
2011-11-15,38413,-21613
2011-11-22,36249,-16723
2011-11-29,40526,-20940
2011-12-06,39110,-21609
2011-12-13,48053,-26022
2011-12-20,43489,-22161
2011-12-27,42229,-22966
2012-01-03,44584,-22273
2012-01-10,48066,-24732
2012-01-17,47907,-24297
2012-01-24,42912,-22177
2012-01-31,36767,-19788
2012-02-07,35240,-17476
2012-02-14,33324,-16603
2012-02-21,32610,-16104
2012-02-28,33006,-18775
2012-03-06,37177,-19656
2012-03-13,47005,-27719
2012-03-20,43542,-25217
2012-03-27,35673,-19018
2012-04-03,28957,-13516
2012-04-10,30906,-14942
2012-04-17,30229,-13418
2012-04-24,27964,-9625
2012-05-01,30235,-12873
2012-05-08,30649,-14133
2012-05-15,45580,-26176
2012-05-22,60430,-42406
2012-05-29,62524,-43005
2012-06-05,64840,-46744
2012-06-12,66457,-46470
2012-06-19,55390,-36513
2012-06-26,52765,-31727
2012-07-03,51380,-32515
2012-07-10,51517,-31562
2012-07-17,54682,-32701
2012-07-24,55572,-34465
2012-07-31,51717,-32617
2012-08-07,51727,-33211
2012-08-14,48690,-30277
2012-08-21,51914,-33348
2012-08-28,51022,-35198
2012-09-04,51009,-35666
2012-09-11,58580,-44332
2012-09-18,27373,-17819
2012-09-25,34763,-25367
2012-10-02,32301,-21309
2012-10-09,30807,-19129
2012-10-16,34588,-21281
2012-10-23,32853,-18463
2012-10-30,30689,-14611
2012-11-06,26564,-9284
2012-11-13,28536,-12327
2012-11-20,29763,-13869
2012-11-27,25769,-10059
2012-12-04,33293,-15348
2012-12-11,39428,-20847
2012-12-18,31900,-18780
2012-12-24,32891,-19412
2012-12-31,32363,-17872
2013-01-08,35903,-17656
2013-01-15,37777,-20432
2013-01-22,33822,-16198
2013-01-29,35986,-18081
2013-02-05,46990,-32800
2013-02-12,38753,-24848
2013-02-19,42790,-26633
2013-02-26,61960,-41747
2013-03-05,69738,-47835
2013-03-12,71213,-45384
2013-03-19,76353,-54230
2013-03-26,73665,-52161
2013-04-02,80234,-54102
2013-04-09,77894,-52817
2013-04-16,68467,-42955
2013-04-23,69324,-40016
2013-04-30,61642,-35520
2013-05-07,59496,-29238
2013-05-14,71809,-39498
2013-05-21,85775,-46053
2013-05-28,83929,-45189
2013-06-04,71721,-37160
2013-06-11,70267,-37789
2013-06-18,41963,-14031
2013-06-25,42928,-11383
2013-07-02,44376,-13560
2013-07-09,58133,-22320
2013-07-16,51831,-20717
2013-07-23,49267,-18354
2013-07-30,51989,-15196
2013-08-06,55269,-20357
2013-08-13,62133,-27206
2013-08-20,63045,-26600
2013-08-27,61757,-26036
2013-09-03,55847,-18854
2013-09-10,59336,-22059
2013-09-17,56944,-25358
2013-09-24,42207,-19193
2013-10-01,42749,-20471
2013-10-08,48625,-24879
2013-10-15,39303,-16411
2013-10-22,43409,-20481
2013-10-29,41257,-18225
2013-11-05,32889,-10394
2013-11-12,30648,-7081
2013-11-19,32884,-9901
2013-11-26,33142,-8650
2013-12-03,36309,-10630
2013-12-10,39268,-16015
2013-12-17,29459,-6968
2013-12-24,32629,-5459
2013-12-31,34081,-7452
2014-01-07,37063,-6593
2014-01-14,32978,-7480
2014-01-21,39693,-9690
2014-01-28,38775,-8302
2014-02-04,37537,-7163
2014-02-11,36577,-6431
2014-02-18,39326,-7297
2014-02-25,39717,-6702
2014-03-04,42422,-12981
2014-03-11,48082,-17496
2014-03-18,38576,-8141
2014-03-25,37938,-4969
2014-04-01,39694,-5643
2014-04-08,41206,-5596
2014-04-15,42537,-12397
2014-04-22,40409,-9117
2014-04-29,43134,-9112
2014-05-06,49988,-12821
2014-05-13,40143,-8017
2014-05-20,37361,-6376
2014-05-27,39030,-6622
2014-06-03,43808,-9621
2014-06-10,44120,-11428
2014-06-17,44369,-13485
2014-06-24,47701,-14279
2014-07-01,47701,-17457
2014-07-08,43437,-13653
2014-07-15,42982,-12564
2014-07-22,46318,-15759
2014-07-29,62006,-28193
2014-08-05,69683,-34043
2014-08-12,71276,-34856
2014-08-19,76067,-38129
2014-08-26,77024,-37957
2014-09-02,73978,-35561
2014-09-09,75549,-32582
2014-09-16,76924,-35229
2014-09-23,79741,-35860
2014-09-30,81992,-33771
2014-10-07,80067,-34108
2014-10-14,77006,-33546
2014-10-21,64556,-26599
2014-10-28,63348,-25961
2014-11-04,75385,-26359
2014-11-11,78471,-26995
2014-11-18,75322,-28318
2014-11-25,81695,-30123
2014-12-02,81348,-31041
2014-12-09,77570,-30398
2014-12-16,71970,-26110
2014-12-23,77681,-30328
2014-12-30,89214,-32203
2015-01-06,108273,-41538
2015-01-13,113393,-42871
2015-01-20,116400,-43479
2015-01-27,116474,-37811
2015-02-03,111134,-34081
2015-02-10,100933,-25095
2015-02-17,101280,-22819
2015-02-24,103626,-25426
2015-03-03,108560,-27087
2015-03-10,131149,-26572
2015-03-17,114235,-19957
2015-03-24,101322,-19048
2015-03-31,102371,-17569
2015-04-07,97442,-16796
2015-04-14,102042,-15920
2015-04-21,98460,-13572
2015-04-28,95375,-15232
2015-05-05,84525,-17926
2015-05-12,95592,-18213
2015-05-19,93492,-18450
2015-05-26,97940,-17102
2015-06-02,96829,-15865
2015-06-09,103592,-22243
2015-06-16,84440,-13569
2015-06-23,84116,-15186
2015-06-30,81141,-12699
2015-07-07,86308,-13483
2015-07-14,85068,-14030
2015-07-21,94857,-15466
2015-07-28,92453,-16372
2015-08-04,96788,-15281
2015-08-11,97384,-18343
2015-08-18,100928,-23893
2015-08-25,97433,-31508
2015-09-01,96966,-28001
2015-09-08,92518,-31971
2015-09-15,63527,-14543
2015-09-22,66389,-11751
2015-09-29,69475,-17133
2015-10-06,68943,-16665
2015-10-13,70342,-22000
2015-10-20,79032,-31174
2015-10-27,71995,-17241
2015-11-03,73297,-17794
2015-11-10,81246,-18281
2015-11-17,87019,-18024
2015-11-24,88297,-16806
2015-12-01,92193,-17085
2015-12-08,94242,-19876
2015-12-15,69437,-9545
2015-12-22,63137,-9113
2015-12-29,62484,-9404
2016-01-05,73492,-15322
2016-01-12,73013,-18704
2016-01-19,75748,-19752
2016-01-26,75529,-18711
2016-02-02,75817,-20051
2016-02-09,75144,-27015
2016-02-16,69043,-24217
2016-02-23,68579,-23817
2016-03-01,63859,-20803
2016-03-08,63069,-21991
2016-03-15,48902,-11105
2016-03-22,52189,-10388
2016-03-29,53296,-11079
2016-04-05,55894,-9217
2016-04-12,58178,-13402
2016-04-19,62206,-17281
2016-04-26,63658,-16428
2016-05-03,71092,-19705
2016-05-10,67552,-18080
2016-05-17,65244,-16202
2016-05-24,61103,-12057
2016-05-31,62032,-12046
2016-06-07,69975,-16172
2016-06-14,50166,-5667
2016-06-21,50479,-5852
2016-06-28,47523,-4900
2016-07-05,50869,-4156
2016-07-12,52468,-4907
2016-07-19,56602,-10543
2016-07-26,61954,-15244
2016-08-02,54598,-10215
2016-08-09,56151,-9014
2016-08-16,57575,-9225
2016-08-23,57284,-6492
2016-08-30,54558,-6651
2016-09-06,57975,-8547
2016-09-13,55304,-9910
2016-09-20,47704,-5332
2016-09-27,50330,-5024
2016-10-04,53486,-9068
2016-10-11,69359,-21802
2016-10-18,79462,-25052
2016-10-25,86269,-27760
2016-11-01,85197,-28060
2016-11-08,85459,-29141
2016-11-15,80382,-26173
2016-11-22,93133,-31452
2016-11-29,91358,-32585
2016-12-06,92469,-36030
2016-12-13,94951,-31779
2016-12-20,83373,-27831
2016-12-27,86407,-28982
2017-01-03,83762,-31185
2017-01-10,79829,-28451
2017-01-17,77071,-27499
2017-01-24,74364,-25975
2017-01-31,75116,-26618
2017-02-07,73460,-28731
2017-02-14,73554,-28257
2017-02-21,74489,-29681
2017-02-28,74415,-29019
2017-03-07,83159,-29665
2017-03-14,74227,-26616
2017-03-21,72528,-27336
2017-03-28,74412,-30019
2017-04-04,69264,-28126
2017-04-11,71220,-26585
2017-04-18,65957,-25742
2017-04-25,69425,-26403
2017-05-02,73186,-30435
2017-05-09,74203,-29485
2017-05-16,77999,-32182
2017-05-23,85085,-42748
2017-05-30,84788,-40293
2017-06-06,87142,-40219
2017-06-13,84886,-43671
2017-06-20,46423,-14341
2017-06-27,47742,-9821
2017-07-03,50320,-10813
2017-07-11,52649,-19605
2017-07-18,52671,-19231
2017-07-25,49577,-18337
2017-08-01,50999,-14088
2017-08-08,52354,-14909
2017-08-15,50879,-13951
2017-08-22,52031,-12861
2017-08-29,57681,-21405
2017-09-05,55333,-16748
2017-09-12,55276,-19161
2017-09-19,41704,-6305
2017-09-26,45006,-6993
2017-10-03,47301,-7550
2017-10-10,44864,-8517
2017-10-17,45926,-6219
2017-10-24,50065,-9984
2017-10-31,48282,-7163
2017-11-07,50745,-8155
2017-11-14,45045,-5635
2017-11-21,38718,-4365
2017-11-28,42962,-9093
2017-12-05,44737,-3106
2017-12-12,43317,-3060
2017-12-19,40402,-3136
2017-12-26,43842,-7228
2018-01-02,52480,-20114
2018-01-09,51132,-23753
2018-01-16,51007,-23465
2018-01-23,48852,-22318
2018-01-30,47026,-19613
2018-02-06,43731,-16763
2018-02-13,40356,-13144
2018-02-20,39328,-10227
2018-02-27,37902,-8105
2018-03-06,37639,-6667
2018-03-13,35920,-6028
2018-03-20,29866,-6237
2018-03-27,35691,-11064
2018-04-03,31226,-8602
2018-04-10,33497,-12108
2018-04-17,34609,-12612
2018-04-24,32114,-8554
2018-05-01,35333,-9826
2018-05-08,37144,-10334
2018-05-15,39909,-11065
2018-05-22,41515,-10969
2018-05-29,45331,-14170
2018-06-05,44389,-14717
2018-06-12,49237,-14351
2018-06-19,46398,-16974
2018-06-26,46801,-16645
2018-07-03,49086,-17862
2018-07-10,47133,-16283
2018-07-17,45283,-15942
2018-07-24,48485,-14551
2018-07-31,49336,-14528
2018-08-07,52611,-17395
2018-08-14,56534,-21029
2018-08-21,55282,-20027
2018-08-28,51219,-15567
2018-09-04,55070,-17308
2018-09-11,56852,-16164
2018-09-18,52328,-15641
2018-09-25,47971,-14792
2018-10-02,52794,-20348
2018-10-09,55370,-20776
2018-10-16,51967,-19584
2018-10-23,56384,-21767
2018-10-30,60152,-24304
2018-11-06,57432,-23261
2018-11-13,57963,-24180
2018-11-20,56888,-23229
2018-11-27,56757,-23095
2018-12-04,56336,-21093
2018-12-11,63522,-22288
2018-12-18,50406,-17802
2018-12-24,49743,-20214
2018-12-31,52165,-23593
2019-01-08,60421,-35035
2019-01-15,61256,-38625
2019-01-22,59583,-36391
2019-01-29,60602,-37033
2019-02-05,57476,-35810
2019-02-12,56407,-27742
2019-02-19,58973,-28916
2019-02-26,64377,-31186
2019-03-05,54755,-22185
2019-03-12,60103,-23420
2019-03-19,43943,-17186
2019-03-26,42610,-15856
2019-04-02,50260,-19113
2019-04-09,50278,-19570
2019-04-16,49290,-19285
2019-04-23,56047,-23868
2019-04-30,58498,-25260
2019-05-07,54388,-22333
2019-05-14,47596,-19556
2019-05-21,51483,-20455
2019-05-28,49786,-18843
2019-06-04,46389,-16049
2019-06-11,48599,-21006
2019-06-18,46584,-19473
2019-06-25,44335,-22313
2019-07-02,42377,-22639
2019-07-09,41507,-16298
2019-07-16,41807,-15912
2019-07-23,47374,-20248
2019-07-30,55156,-23217
2019-08-06,55001,-21371
2019-08-13,54397,-21432
2019-08-20,55486,-20471
2019-08-27,54384,-19219
2019-09-03,61411,-23723
2019-09-10,64055,-19243
2019-09-17,55024,-19491
2019-09-24,56525,-19049
2019-10-01,58357,-20217
2019-10-08,57168,-19719
2019-10-15,53762,-18537
2019-10-22,52712,-27022
2019-10-29,48617,-25651
2019-11-05,46017,-25102
2019-11-12,45520,-23684
2019-11-19,44530,-23048
2019-11-26,41483,-19631
2019-12-03,44109,-20757
2019-12-10,46299,-24708
2019-12-17,32189,-15988
2019-12-24,32411,-15907
2019-12-31,35302,-21821
2020-01-07,34729,-21302
2020-01-14,35809,-19193
2020-01-21,35498,-17474
2020-01-28,35620,-12086
2020-02-04,36384,-13284
2020-02-11,49184,-22070
2020-02-18,48021,-22161
2020-02-25,47290,-20554
2020-03-03,39177,-13692
2020-03-10,44456,-27652
2020-03-17,24701,-10399
2020-03-24,27635,-10565
2020-03-31,28189,-8652
2020-04-07,28005,-8648
2020-04-14,28803,-10342
2020-04-21,30585,-11428
2020-04-28,31567,-11797
2020-05-05,30680,-10610
2020-05-12,30258,-11362
2020-05-19,30452,-11566
2020-05-26,27253,-9410
2020-06-02,24901,-8279
2020-06-09,32829,-18482
2020-06-16,19175,-6258
2020-06-23,20760,-8497
2020-06-30,18698,-6472
2020-07-07,22065,-9000
2020-07-14,22620,-9760
2020-07-21,30525,-17328
2020-07-28,36098,-23449
2020-08-04,33923,-20357
2020-08-11,33283,-18817
2020-08-18,31357,-17681
2020-08-25,27682,-11193
2020-09-01,25829,-12022
2020-09-08,28448,-11787
